Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Utica Health Center,NY00195,7667 Oak Blvd,Utica,NY,70404,Utica County,(418) 527-8737,Children's Hospital,Government - Local,No,4,No,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
New York Community Hospital,NY00196,1203 Healthcare Dr,Albany,NY,35393,Albany County,(990) 559-6544,Acute Care Hospital,Proprietary,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Albany Health Center,NY00197,1334 Center Blvd,Albany,NY,33598,Albany County,(777) 823-8342,Rehabilitation Hospital,Proprietary,Yes,1,Yes,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
St. Matthew University Hospital,NY00198,6479 Main Dr,Albany,NY,99000,Albany County,(966) 725-1314,Rehabilitation Hospital,Government - State,Yes,3,No,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
St. Jeffrey Memorial Hospital,NY00199,5281 Market Dr,New York City,NY,43456,New York City County,(373) 976-8384,Critical Access Hospital,Government - Local,No,1,No,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
New York City Clinic,NY00200,8374 Market Ave,New York City,NY,78069,New York City County,(331) 656-7621,Rehabilitation Hospital,Government - Federal,Yes,4,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Lancaster Children's Hospital,PA00001,108 Lincoln Way,Lancaster,PA,52859,Lancaster County,(715) 401-6198,Psychiatric Hospital,Government - State,No,3,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
St. Kevin Community Hospital,PA00002,3081 University Blvd,Harrisburg,PA,85048,Harrisburg County,(341) 492-1875,Psychiatric Hospital,Voluntary non-profit - Other,Yes,Not Available,No,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Regional Sarah Regional Hospital,PA00003,8941 Park St,Allentown,PA,61220,Allentown County,(802) 903-2832,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,4,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
General Kevin Regional Medical Center,PA00004,3896 Main Way,Allentown,PA,20322,Allentown County,(762) 447-6892,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,2,Yes,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
General Matthew Health System,PA00005,6935 Healthcare Way,Lancaster,PA,84373,Lancaster County,(959) 506-9177,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
St. Donald County Hospital,PA00006,4322 Main Ave,Scranton,PA,62766,Scranton County,(642) 959-7141,Acute Care Hospital,Government - Local,Yes,4,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Reading Clinic,PA00007,762 Healthcare Dr,Reading,PA,23588,Reading County,(688) 797-8858,Critical Access Hospital,Voluntary non-profit - Private,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
Memorial Richard Healthcare,PA00008,4836 Medical Dr,Lancaster,PA,90016,Lancaster County,(646) 556-4634,Psychiatric Hospital,Government - State,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Philadelphia Health Center,PA00009,595 Medical St,Philadelphia,PA,65524,Philadelphia County,(744) 849-7098,Children's Hospital,Government - State,Yes,4,Yes,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Philadelphia Community Hospital,PA00010,7960 Church St,Philadelphia,PA,50434,Philadelphia County,(461) 210-1858,Children's Hospital,Voluntary non-profit - Private,Yes,4,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
St. Patricia City Hospital,PA00011,917 Healthcare Blvd,Erie,PA,98491,Erie County,(444) 453-6340,Acute Care Hospital,Government - State,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average
York Healthcare,PA00012,3241 Main Dr,York,PA,57779,York County,(207) 392-4878,Children's Hospital,Government - Federal,Yes,3,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Lancaster Veterans Hospital,PA00013,1161 Second Way,Lancaster,PA,12987,Lancaster County,(416) 965-4545,Children's Hospital,Voluntary non-profit - Church,Yes,Not Available,No,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
York Health Center,PA00014,1793 College Ave,York,PA,67843,York County,(868) 439-2257,Children's Hospital,Government - Local,No,1,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
Regional William Regional Medical Center,PA00015,2649 First St,Bethlehem,PA,87982,Bethlehem County,(827) 346-9151,Acute Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Pennsylvania Clinic,PA00016,5732 University Ave,York,PA,65318,York County,(573) 799-6269,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,4,No,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average
Bethlehem Hospital,PA00017,1973 Park Way,Bethlehem,PA,31863,Bethlehem County,(925) 434-8995,Psychiatric Hospital,Government - Federal,Yes,4,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Regional Jennifer Veterans Hospital,PA00018,7119 Medical Way,Reading,PA,11846,Reading County,(892) 996-6727,Critical Access Hospital,Voluntary non-profit - Church,No,5,No,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Pennsylvania Hospital,PA00019,7118 Maple St,Erie,PA,75774,Erie County,(430) 602-2422,Acute Care Hospital,Voluntary non-profit - Other,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Pennsylvania Veterans Hospital,PA00020,9973 Healthcare Ave,Lancaster,PA,31981,Lancaster County,(645) 378-6642,Critical Access Hospital,Voluntary non-profit - Church,Yes,1,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Pittsburgh Children's Hospital,PA00021,773 University Ave,Pittsburgh,PA,70037,Pittsburgh County,(641) 915-1368,Acute Care Hospital,Government - State,Yes,Not Available,No,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
Pennsylvania County Hospital,PA00022,1794 Main Ave,Bethlehem,PA,77434,Bethlehem County,(619) 852-1425,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,2,No,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average
St. Michelle Regional Hospital,PA00023,836 Third Ave,Lancaster,PA,96734,Lancaster County,(842) 235-8560,Long-Term Care Hospital,Proprietary,Yes,Not Available,No,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Pennsylvania Medical Center,PA00024,8611 Medical Ave,Scranton,PA,87368,Scranton County,(331) 603-6269,Psychiatric Hospital,Proprietary,Yes,5,No,Below the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
General Daniel Regional Hospital,PA00025,9987 Third Blvd,Philadelphia,PA,76838,Philadelphia County,(584) 841-9179,Acute Care Hospital,Voluntary non-profit - Other,No,Not Available,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
Pennsylvania City Hospital,PA00026,1479 Maple St,Harrisburg,PA,99527,Harrisburg County,(226) 904-5494,Long-Term Care Hospital,Government - Local,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
Pennsylvania Medical Center,PA00027,9695 University Ave,Lancaster,PA,73332,Lancaster County,(330) 939-1998,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,Not Available,No,Below the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Mount Daniel County Hospital,PA00028,2215 Second St,Bethlehem,PA,83601,Bethlehem County,(567) 357-5871,Acute Care Hospital,Government - State,Yes,2,Yes,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Regional Donald City Hospital,PA00029,2037 Healthcare Blvd,Erie,PA,70833,Erie County,(778) 969-6555,Rehabilitation Hospital,Government - State,No,2,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Bethlehem Clinic,PA00030,2758 Maple Way,Bethlehem,PA,23587,Bethlehem County,(318) 650-5799,Children's Hospital,Voluntary non-profit - Private,Yes,4,Yes,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Pittsburgh Regional Hospital,PA00031,8861 College Way,Pittsburgh,PA,29885,Pittsburgh County,(442) 501-5957,Critical Access Hospital,Government - Federal,Yes,1,No,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
General Jeffrey Regional Hospital,PA00032,524 Third St,Allentown,PA,66106,Allentown County,(533) 347-1919,Critical Access Hospital,Government - Local,Yes,3,No,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
Pennsylvania Hospital,PA00033,4200 Healthcare Blvd,Philadelphia,PA,40336,Philadelphia County,(741) 253-7033,Psychiatric Hospital,Voluntary non-profit - Other,No,2,No,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average
General Edward Children's Hospital,PA00034,3445 Third Way,Allentown,PA,25865,Allentown County,(651) 835-7307,Critical Access Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Philadelphia Veterans Hospital,PA00035,858 Center Ave,Philadelphia,PA,63381,Philadelphia County,(684) 947-8828,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,1,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average
St. Lisa Community Hospital,PA00036,4931 Hospital Ave,Lancaster,PA,31300,Lancaster County,(707) 304-7385,Psychiatric Hospital,Proprietary,Yes,5,Yes,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Pennsylvania Memorial Hospital,PA00037,632 Lincoln Dr,Bethlehem,PA,41919,Bethlehem County,(486) 230-4940,Critical Access Hospital,Government - State,Yes,Not Available,No,Below the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Allentown General Hospital,PA00038,6228 Maple Dr,Allentown,PA,66844,Allentown County,(829) 407-3344,Rehabilitation Hospital,Government - State,No,1,No,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Pennsylvania Community Hospital,PA00039,1737 Main Ave,Harrisburg,PA,32643,Harrisburg County,(542) 409-8042,Acute Care Hospital,Government - Local,Yes,3,Yes,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
York University Hospital,PA00040,2348 Medical St,York,PA,73970,York County,(952) 409-3843,Acute Care Hospital,Proprietary,No,5,No,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average
York Children's Hospital,PA00041,5787 University St,York,PA,60438,York County,(897) 355-5630,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Pennsylvania County Hospital,PA00042,3305 Main Dr,Philadelphia,PA,23935,Philadelphia County,(829) 714-9861,Acute Care Hospital,Voluntary non-profit - Church,Yes,3,Yes,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average
General Michael Medical Center,PA00043,7955 Oak Dr,Pittsburgh,PA,74236,Pittsburgh County,(408) 565-7330,Acute Care Hospital,Voluntary non-profit - Church,Yes,2,Yes,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Pennsylvania Regional Hospital,PA00044,7308 University Dr,Philadelphia,PA,44592,Philadelphia County,(892) 652-4877,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,Not Available,Yes,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Memorial Betty Clinic,PA00045,1526 Church Ave,Harrisburg,PA,62034,Harrisburg County,(855) 507-5404,Critical Access Hospital,Government - Federal,Yes,4,No,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Bethlehem Hospital,PA00046,2300 Lincoln Ave,Bethlehem,PA,84160,Bethlehem County,(651) 742-9257,Children's Hospital,Government - State,Yes,3,No,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average
Mount Kimberly Community Hospital,PA00047,3959 Maple St,Lancaster,PA,52263,Lancaster County,(989) 212-4542,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,1,No,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Pennsylvania General Hospital,PA00048,1812 University Way,Pittsburgh,PA,87218,Pittsburgh County,(792) 531-4393,Psychiatric Hospital,Government - Federal,Yes,2,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
General Kenneth Health System,PA00049,7679 Park St,Harrisburg,PA,43440,Harrisburg County,(948) 290-1465,Acute Care Hospital,Government - State,No,2,Yes,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Lancaster Clinic,PA00050,1014 Third St,Lancaster,PA,71807,Lancaster County,(446) 369-2786,Critical Access Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Lancaster Regional Hospital,PA00051,1814 Center St,Lancaster,PA,71119,Lancaster County,(686) 322-9980,Children's Hospital,Government - State,Yes,4,No,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average
Pittsburgh Memorial Hospital,PA00052,503 Healthcare Way,Pittsburgh,PA,49831,Pittsburgh County,(623) 301-1028,Psychiatric Hospital,Voluntary non-profit - Private,Yes,3,No,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
York Veterans Hospital,PA00053,847 Medical Blvd,York,PA,68497,York County,(583) 985-8376,Acute Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Bethlehem General Hospital,PA00054,1824 Healthcare St,Bethlehem,PA,50894,Bethlehem County,(421) 715-4834,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Above the national average
General Charles City Hospital,PA00055,6739 Park Ave,Allentown,PA,37779,Allentown County,(943) 287-1864,Acute Care Hospital,Government - Federal,Yes,3,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Memorial Jennifer City Hospital,PA00056,8939 Center St,Scranton,PA,21146,Scranton County,(765) 329-4673,Psychiatric Hospital,Proprietary,Yes,1,Yes,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Pennsylvania Hospital,PA00057,3519 Oak St,Pittsburgh,PA,49356,Pittsburgh County,(641) 992-9429,Psychiatric Hospital,Government - State,Yes,Not Available,Yes,Above the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
St. James University Hospital,PA00058,3972 Second Dr,Bethlehem,PA,78669,Bethlehem County,(897) 429-7936,Rehabilitation Hospital,Voluntary non-profit - Church,No,2,No,Same as the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average
Regional Brian County Hospital,PA00059,1633 Broadway Blvd,York,PA,75523,York County,(481) 873-7029,Acute Care Hospital,Government - Federal,Yes,2,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
Memorial Sandra General Hospital,PA00060,8134 Oak St,Pittsburgh,PA,85855,Pittsburgh County,(337) 288-5404,Rehabilitation Hospital,Proprietary,Yes,Not Available,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Memorial Paul Memorial Hospital,PA00061,108 Broadway St,Bethlehem,PA,92465,Bethlehem County,(445) 763-8056,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,3,Yes,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
Philadelphia Children's Hospital,PA00062,8556 Lincoln Blvd,Philadelphia,PA,82763,Philadelphia County,(695) 613-7699,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
Lancaster Children's Hospital,PA00063,5796 Lincoln Way,Lancaster,PA,88609,Lancaster County,(824) 761-3489,Acute Care Hospital,Voluntary non-profit - Church,No,2,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
Pennsylvania Community Hospital,PA00064,7510 Lincoln Way,Allentown,PA,26219,Allentown County,(744) 765-7539,Rehabilitation Hospital,Government - State,No,4,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Pennsylvania Health System,PA00065,8139 Lincoln Ave,York,PA,67039,York County,(209) 667-7659,Psychiatric Hospital,Government - State,Yes,4,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Pennsylvania Regional Medical Center,PA00066,2263 Second Blvd,Allentown,PA,46747,Allentown County,(729) 288-7587,Rehabilitation Hospital,Proprietary,Yes,1,Yes,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Pennsylvania Regional Medical Center,PA00067,2859 Lincoln Dr,Erie,PA,98769,Erie County,(717) 972-7889,Acute Care Hospital,Voluntary non-profit - Private,No,4,Yes,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Regional David County Hospital,PA00068,5113 Center Ave,Erie,PA,15715,Erie County,(249) 694-6512,Psychiatric Hospital,Government - Federal,Yes,Not Available,Yes,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
General Larry Memorial Hospital,PA00069,8350 Maple Ave,Philadelphia,PA,29046,Philadelphia County,(355) 330-7677,Acute Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
Memorial Charles Health System,PA00070,1489 Market Ave,Lancaster,PA,88181,Lancaster County,(995) 577-7860,Children's Hospital,Voluntary non-profit - Church,Yes,2,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Memorial Thomas Regional Hospital,PA00071,3585 College St,Erie,PA,61810,Erie County,(202) 204-5021,Psychiatric Hospital,Government - Local,No,4,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Mount Barbara City Hospital,PA00072,6955 Oak St,Erie,PA,78454,Erie County,(300) 523-5562,Critical Access Hospital,Government - Federal,Yes,1,No,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average
Memorial Kenneth General Hospital,PA00073,2359 Medical St,Reading,PA,58177,Reading County,(352) 593-4390,Psychiatric Hospital,Proprietary,Yes,5,No,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
Mount Sarah Healthcare,PA00074,648 First Blvd,Scranton,PA,25132,Scranton County,(649) 773-8222,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,1,Yes,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average
York Healthcare,PA00075,7948 Church Way,York,PA,79626,York County,(363) 223-8028,Critical Access Hospital,Proprietary,Yes,2,No,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Pennsylvania Health System,PA00076,9726 University Dr,Pittsburgh,PA,67033,Pittsburgh County,(664) 825-8914,Critical Access Hospital,Government - Federal,Yes,2,No,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
St. Emily Health Center,PA00077,8931 Second Ave,Reading,PA,90484,Reading County,(932) 451-9465,Acute Care Hospital,Proprietary,No,1,No,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Pennsylvania Regional Hospital,PA00078,8030 Church Way,Pittsburgh,PA,13624,Pittsburgh County,(560) 208-5746,Critical Access Hospital,Government - Local,No,1,Yes,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Pennsylvania Regional Hospital,PA00079,1840 Third St,York,PA,19031,York County,(270) 234-4275,Acute Care Hospital,Voluntary non-profit - Other,No,1,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Pennsylvania Hospital,PA00080,4148 Hospital Way,Lancaster,PA,78053,Lancaster County,(706) 662-4442,Rehabilitation Hospital,Government - State,Yes,2,Yes,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average
Pennsylvania Regional Medical Center,PA00081,903 Maple Ave,Harrisburg,PA,28084,Harrisburg County,(421) 703-6292,Acute Care Hospital,Voluntary non-profit - Church,Yes,4,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Pennsylvania Community Hospital,PA00082,9451 College Blvd,Scranton,PA,26884,Scranton County,(817) 611-1995,Children's Hospital,Government - Local,Yes,4,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average
Lancaster Children's Hospital,PA00083,3224 Hospital St,Lancaster,PA,54961,Lancaster County,(668) 303-7798,Children's Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Regional Kimberly Clinic,PA00084,7767 Church St,Philadelphia,PA,57605,Philadelphia County,(710) 473-2267,Acute Care Hospital,Government - Local,Yes,2,Yes,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Pittsburgh Regional Hospital,PA00085,5837 First Dr,Pittsburgh,PA,36431,Pittsburgh County,(582) 231-8052,Acute Care Hospital,Proprietary,Yes,2,No,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Pennsylvania City Hospital,PA00086,1238 Park Dr,Philadelphia,PA,97568,Philadelphia County,(490) 982-1975,Children's Hospital,Government - Local,No,3,No,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Bethlehem University Hospital,PA00087,1359 Center Ave,Bethlehem,PA,95556,Bethlehem County,(731) 908-3738,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,4,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average
Regional Donald County Hospital,PA00088,9260 Main Ave,Philadelphia,PA,72954,Philadelphia County,(886) 399-7806,Children's Hospital,Government - Federal,Yes,3,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average
Lancaster Memorial Hospital,PA00089,3612 Maple Ave,Lancaster,PA,97549,Lancaster County,(235) 399-2645,Critical Access Hospital,Government - Federal,No,5,No,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average
Pittsburgh Clinic,PA00090,4358 Market Dr,Pittsburgh,PA,53569,Pittsburgh County,(650) 260-8862,Rehabilitation Hospital,Government - Federal,Yes,3,Yes,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average
St. Anthony University Hospital,PA00091,6264 Church St,Reading,PA,31464,Reading County,(641) 348-7515,Acute Care Hospital,Proprietary,Yes,4,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Pennsylvania Hospital,PA00092,4483 Maple Dr,Reading,PA,36057,Reading County,(751) 523-1594,Psychiatric Hospital,Voluntary non-profit - Church,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
General Sandra Regional Hospital,PA00093,806 Hospital Blvd,Philadelphia,PA,91770,Philadelphia County,(206) 774-9653,Rehabilitation Hospital,Voluntary non-profit - Private,No,3,No,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average
Pennsylvania Medical Center,PA00094,4381 Park Ave,Allentown,PA,95449,Allentown County,(602) 338-3149,Children's Hospital,Voluntary non-profit - Other,Yes,4,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average
Reading County Hospital,PA00095,1666 Park Ave,Reading,PA,88692,Reading County,(640) 338-1677,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,2,Yes,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Pittsburgh Healthcare,PA00096,8935 Second Blvd,Pittsburgh,PA,11349,Pittsburgh County,(480) 783-9091,Psychiatric Hospital,Government - State,Yes,3,Yes,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
St. Donna City Hospital,PA00097,4048 Washington Way,Allentown,PA,84245,Allentown County,(240) 870-6945,Long-Term Care Hospital,Proprietary,Yes,1,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
Pittsburgh Memorial Hospital,PA00098,3384 First St,Pittsburgh,PA,79849,Pittsburgh County,(778) 882-8920,Critical Access Hospital,Voluntary non-profit - Private,No,5,No,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
Mount Jason General Hospital,PA00099,6651 Church St,York,PA,89748,York County,(654) 743-5927,Acute Care Hospital,Government - Federal,Yes,3,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Allentown Medical Center,PA00100,4274 Maple Blvd,Allentown,PA,93020,Allentown County,(834) 407-8866,Acute Care Hospital,Government - Federal,Yes,5,Yes,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average
Memorial Margaret Health Center,PA00101,7373 Church Way,Harrisburg,PA,45605,Harrisburg County,(279) 907-6002,Rehabilitation Hospital,Government - Federal,Yes,4,Yes,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Memorial Joseph Health Center,PA00102,9079 Hospital St,Philadelphia,PA,60874,Philadelphia County,(219) 449-5674,Psychiatric Hospital,Government - Federal,Yes,Not Available,Yes,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Regional Jason City Hospital,PA00103,7649 Second Ave,Harrisburg,PA,33065,Harrisburg County,(677) 877-5694,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,4,Yes,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average
Pennsylvania University Hospital,PA00104,1192 College St,Harrisburg,PA,28898,Harrisburg County,(398) 415-5253,Children's Hospital,Voluntary non-profit - Church,No,1,Yes,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average
Philadelphia Hospital,PA00105,2370 Maple Dr,Philadelphia,PA,91763,Philadelphia County,(239) 539-3369,Long-Term Care Hospital,Voluntary non-profit - Other,No,3,No,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Pennsylvania Regional Medical Center,PA00106,3298 Maple St,Bethlehem,PA,46154,Bethlehem County,(546) 716-6822,Long-Term Care Hospital,Voluntary non-profit - Private,Yes,4,No,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Bethlehem Healthcare,PA00107,214 College Blvd,Bethlehem,PA,13268,Bethlehem County,(517) 671-6087,Critical Access Hospital,Government - Local,Yes,4,No,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Scranton Veterans Hospital,PA00108,5328 Maple Way,Scranton,PA,97413,Scranton County,(212) 242-4692,Psychiatric Hospital,Proprietary,Yes,2,Yes,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average
